MutantID,Status,Output
128,LIVE,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/128/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2 == a + c > b) {|
129,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/129/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (false) {|
59,LIVE,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/59/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -33 +33 @@|-        if (trian == 0) {|+        if (trian <= 0) {|
58,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/58/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -33 +33 @@|-        if (trian == 0) {|+        if (trian == -1) {|
55,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/55/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -31 +31 @@|-            trian = trian + 3;|+            trian = trian / 3;|
54,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/54/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -31 +31 @@|-            trian = trian + 3;|+            trian = trian - 3;|
57,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/57/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -33 +33 @@|-        if (trian == 0) {|+        if (trian == 1) {|
56,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/56/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -31 +31 @@|-            trian = trian + 3;|+            |
51,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/51/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -31 +31 @@|-            trian = trian + 3;|+            trian = trian + -3;|
50,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/50/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -31 +31 @@|-            trian = trian + 3;|+            trian = trian + 0;|
